games_played,landlord_lv,peasants_lv,win_rate_landlord,win_rate_peasants
1234,0,0,0.38168557536466774,0.6183144246353323
1234,0,1,0.4173419773095624,0.5826580226904376
1234,0,2,0.5834683954619124,0.4165316045380875
1234,0,3,0.7147487844408428,0.2852512155591572
1234,0,4,0.7957860615883307,0.20421393841166938
1234,0,5,0.9051863857374393,0.09481361426256078
1234,0,6,0.8905996758508914,0.1094003241491086
1234,0,7,0.8703403565640194,0.12965964343598055
1234,0,8,0.8760129659643436,0.1239870340356564
1234,0,9,0.8768233387358185,0.12317666126418152
1234,1,0,0.3338735818476499,0.6661264181523501
1234,1,1,0.3881685575364668,0.6118314424635333
1234,1,2,0.5040518638573744,0.4959481361426256
1234,1,3,0.559967585089141,0.440032414910859
1234,1,4,0.6280388978930308,0.3719611021069692
1234,1,5,0.7625607779578606,0.23743922204213938
1234,1,6,0.7358184764991896,0.26418152350081037
1234,1,7,0.7252836304700162,0.2747163695299838
1234,1,8,0.7188006482982172,0.28119935170178284
1234,1,9,0.752836304700162,0.24716369529983792
1234,2,0,0.2893030794165316,0.7106969205834684
1234,2,1,0.28768233387358183,0.7123176661264181
1234,2,2,0.40761750405186387,0.5923824959481362
1234,2,3,0.5056726094003241,0.49432739059967584
1234,2,4,0.5615883306320908,0.43841166936790926
1234,2,5,0.6620745542949756,0.3379254457050243
1234,2,6,0.6239870340356564,0.3760129659643436
1234,2,7,0.606969205834684,0.39303079416531606
1234,2,8,0.6215559157212318,0.37844408427876824
1234,2,9,0.6085899513776337,0.3914100486223663
1234,3,0,0.19611021069692058,0.8038897893030794
1234,3,1,0.22123176661264182,0.7787682333873582
1234,3,2,0.30307941653160453,0.6969205834683955
1234,3,3,0.40761750405186387,0.5923824959481362
1234,3,4,0.4505672609400324,0.5494327390599676
1234,3,5,0.5235008103727715,0.47649918962722854
1234,3,6,0.534035656401945,0.4659643435980551
1234,3,7,0.47893030794165314,0.5210696920583469
1234,3,8,0.5081037277147488,0.49189627228525123
1234,3,9,0.49351701782820095,0.506482982171799
1234,4,0,0.13452188006482982,0.8654781199351702
1234,4,1,0.1685575364667747,0.8314424635332253
1234,4,2,0.2325769854132901,0.7674230145867099
1234,4,3,0.3055105348460292,0.6944894651539708
1234,4,4,0.3427876823338736,0.6572123176661264
1234,4,5,0.36223662884927066,0.6377633711507293
1234,4,6,0.35089141004862234,0.6491085899513777
1234,4,7,0.36385737439222043,0.6361426256077796
1234,4,8,0.3419773095623987,0.6580226904376013
1234,4,9,0.3695299837925446,0.6304700162074555
1234,5,0,0.051053484602917344,0.9489465153970826
1234,5,1,0.09319286871961102,0.906807131280389
1234,5,2,0.1612641815235008,0.8387358184764991
1234,5,3,0.233387358184765,0.766612641815235
1234,5,4,0.2852512155591572,0.7147487844408428
1234,5,5,0.3346839546191248,0.6653160453808752
1234,5,6,0.3217179902755267,0.6782820097244733
1234,5,7,0.34521880064829824,0.6547811993517018
1234,5,8,0.3460291734197731,0.6539708265802269
1234,5,9,0.3695299837925446,0.6304700162074555
1234,6,0,0.08752025931928688,0.9124797406807131
1234,6,1,0.13614262560777957,0.8638573743922204
1234,6,2,0.21393841166936792,0.7860615883306321
1234,6,3,0.2714748784440843,0.7285251215559158
1234,6,4,0.35980551053484605,0.640194489465154
1234,6,5,0.39222042139384117,0.6077795786061588
1234,6,6,0.3549432739059968,0.6450567260940032
1234,6,7,0.37682333873581847,0.6231766612641815
1234,6,8,0.3841166936790924,0.6158833063209076
1234,6,9,0.38006482982171796,0.619935170178282
1234,7,0,0.09805510534846029,0.9019448946515397
1234,7,1,0.1353322528363047,0.8646677471636953
1234,7,2,0.19773095623987033,0.8022690437601296
1234,7,3,0.2771474878444084,0.7228525121555915
1234,7,4,0.4011345218800648,0.5988654781199352
1234,7,5,0.3897893030794165,0.6102106969205835
1234,7,6,0.36142625607779577,0.6385737439222042
1234,7,7,0.37925445705024313,0.6207455429497569
1234,7,8,0.35980551053484605,0.640194489465154
1234,7,9,0.34359805510534847,0.6564019448946515
1234,8,0,0.09157212317666126,0.9084278768233387
1234,8,1,0.12965964343598055,0.8703403565640194
1234,8,2,0.19286871961102106,0.807131280388979
1234,8,3,0.26499189627228525,0.7350081037277147
1234,8,4,0.373581847649919,0.626418152350081
1234,8,5,0.3500810372771475,0.6499189627228525
1234,8,6,0.33225283630470015,0.6677471636952999
1234,8,7,0.3460291734197731,0.6539708265802269
1234,8,8,0.3241491085899514,0.6758508914100486
1234,8,9,0.34359805510534847,0.6564019448946515
1234,9,0,0.07779578606158834,0.9222042139384117
1234,9,1,0.1385737439222042,0.8614262560777958
1234,9,2,0.21231766612641814,0.7876823338735819
1234,9,3,0.2585089141004862,0.7414910858995137
1234,9,4,0.3395461912479741,0.660453808752026
1234,9,5,0.3646677471636953,0.6353322528363047
1234,9,6,0.3014586709886548,0.6985413290113452
1234,9,7,0.3354943273905997,0.6645056726094003
1234,9,8,0.3646677471636953,0.6353322528363047
1234,9,9,0.33063209076175043,0.6693679092382496
