games_played,landlord_lv,peasants_lv,win_rate_landlord,win_rate_peasants
1234,0,0,0.3711507293354943,0.6288492706645057
1234,0,1,0.4886547811993517,0.5113452188006483
1234,0,2,0.6215559157212318,0.37844408427876824
1234,0,3,0.7034035656401945,0.2965964343598055
1234,0,4,0.7431118314424635,0.2568881685575365
1234,0,5,0.7682333873581848,0.23176661264181522
1234,0,6,0.8176661264181524,0.18233387358184766
1234,0,7,0.8460291734197731,0.1539708265802269
1234,0,8,0.8379254457050244,0.1620745542949757
1234,0,9,0.86709886547812,0.13290113452188007
1234,1,0,0.31523500810372773,0.6847649918962723
1234,1,1,0.40761750405186387,0.5923824959481362
1234,1,2,0.4813614262560778,0.5186385737439222
1234,1,3,0.5615883306320908,0.43841166936790926
1234,1,4,0.5858995137763371,0.4141004862236629
1234,1,5,0.6110210696920584,0.3889789303079417
1234,1,6,0.6288492706645057,0.3711507293354943
1234,1,7,0.6555915721231766,0.34440842787682335
1234,1,8,0.6102106969205835,0.3897893030794165
1234,1,9,0.6896272285251216,0.31037277147487846
1234,2,0,0.1920583468395462,0.8079416531604539
1234,2,1,0.31037277147487846,0.6896272285251216
1234,2,2,0.4586709886547812,0.5413290113452188
1234,2,3,0.5623987034035657,0.4376012965964344
1234,2,4,0.5307941653160454,0.4692058346839546
1234,2,5,0.5016207455429498,0.4983792544570502
1234,2,6,0.5283630470016207,0.47163695299837927
1234,2,7,0.5551053484602917,0.44489465153970825
1234,2,8,0.5502431118314425,0.4497568881685575
1234,2,9,0.6142625607779578,0.3857374392220421
1234,3,0,0.15883306320907617,0.8411669367909238
1234,3,1,0.22366288492706646,0.7763371150729336
1234,3,2,0.3241491085899514,0.6758508914100486
1234,3,3,0.4141004862236629,0.5858995137763371
1234,3,4,0.4141004862236629,0.5858995137763371
1234,3,5,0.3541329011345219,0.6458670988654781
1234,3,6,0.4165316045380875,0.5834683954619124
1234,3,7,0.4481361426256078,0.5518638573743923
1234,3,8,0.45705024311183146,0.5429497568881686
1234,3,9,0.513776337115073,0.4862236628849271
1234,4,0,0.15559157212317667,0.8444084278768234
1234,4,1,0.21636952998379255,0.7836304700162074
1234,4,2,0.2925445705024311,0.7074554294975689
1234,4,3,0.4051863857374392,0.5948136142625607
1234,4,4,0.3565640194489465,0.6434359805510534
1234,4,5,0.32820097244732577,0.6717990275526742
1234,4,6,0.3695299837925446,0.6304700162074555
1234,4,7,0.4100486223662885,0.5899513776337115
1234,4,8,0.4481361426256078,0.5518638573743923
1234,4,9,0.49108589951377635,0.5089141004862237
1234,5,0,0.15235008103727715,0.8476499189627229
1234,5,1,0.20745542949756887,0.7925445705024311
1234,5,2,0.3249594813614263,0.6750405186385737
1234,5,3,0.3946515397082658,0.6053484602917342
1234,5,4,0.3573743922204214,0.6426256077795786
1234,5,5,0.34521880064829824,0.6547811993517018
1234,5,6,0.353322528363047,0.646677471636953
1234,5,7,0.41572123176661263,0.5842787682333873
1234,5,8,0.4846029173419773,0.5153970826580226
1234,5,9,0.5623987034035657,0.4376012965964344
1234,6,0,0.12317666126418152,0.8768233387358185
1234,6,1,0.22042139384116693,0.779578606158833
1234,6,2,0.31118314424635335,0.6888168557536467
1234,6,3,0.36709886547811993,0.63290113452188
1234,6,4,0.3541329011345219,0.6458670988654781
1234,6,5,0.3273905996758509,0.6726094003241491
1234,6,6,0.3492706645056726,0.6507293354943274
1234,6,7,0.42706645056726095,0.5729335494327391
1234,6,8,0.49189627228525123,0.5081037277147488
1234,6,9,0.513776337115073,0.4862236628849271
1234,7,0,0.10696920583468396,0.893030794165316
1234,7,1,0.19773095623987033,0.8022690437601296
1234,7,2,0.2917341977309562,0.7082658022690438
1234,7,3,0.3087520259319287,0.6912479740680713
1234,7,4,0.3184764991896272,0.6815235008103727
1234,7,5,0.26904376012965964,0.7309562398703403
1234,7,6,0.2714748784440843,0.7285251215559158
1234,7,7,0.34440842787682335,0.6555915721231766
1234,7,8,0.3873581847649919,0.6126418152350082
1234,7,9,0.386547811993517,0.6134521880064829
1234,8,0,0.10048622366288493,0.899513776337115
1234,8,1,0.20907617504051865,0.7909238249594813
1234,8,2,0.2747163695299838,0.7252836304700162
1234,8,3,0.3087520259319287,0.6912479740680713
1234,8,4,0.2917341977309562,0.7082658022690438
1234,8,5,0.2366288492706645,0.7633711507293355
1234,8,6,0.2593192868719611,0.7406807131280388
1234,8,7,0.3217179902755267,0.6782820097244733
1234,8,8,0.3987034035656402,0.6012965964343598
1234,8,9,0.37925445705024313,0.6207455429497569
1234,9,0,0.05429497568881685,0.9457050243111832
1234,9,1,0.10453808752025932,0.8954619124797407
1234,9,2,0.19854132901134522,0.8014586709886548
1234,9,3,0.25121555915721233,0.7487844408427877
1234,9,4,0.2188006482982172,0.7811993517017828
1234,9,5,0.233387358184765,0.766612641815235
1234,9,6,0.24230145867098865,0.7576985413290114
1234,9,7,0.31037277147487846,0.6896272285251216
1234,9,8,0.3233387358184765,0.6766612641815235
1234,9,9,0.320097244732577,0.679902755267423
